"","clm","veh_value","exposure","veh_body","veh_age","gender","area","agecat"
"48",0,1.62,0.8542094456,"SEDAN",2,"F","B",4
"49",0,2.14,0.5366187543,"HDTOP",3,"M","D",4
"50",0,1.77,0.2491444216,"HBACK",2,"F","E",1
"51",0,4.03,0.462696783,"STNWG",1,"M","F",2
"52",0,2.65,0.0958247775,"SEDAN",1,"F","C",3
"53",0,1.13,0.3039014374,"STNWG",4,"M","A",1
"54",0,1.53,0.1697467488,"SEDAN",3,"F","D",3
"55",0,1.05,0.9062286105,"HBACK",2,"F","F",3
"56",0,0.88,0.5366187543,"COUPE",4,"M","B",4
"57",0,2.9,0.8542094456,"STNWG",3,"M","B",5
"58",0,2.67,0.5366187543,"HBACK",1,"F","A",2
"59",0,0.83,0.3449691992,"SEDAN",4,"M","C",5
"60",0,0.7,0.2491444216,"SEDAN",4,"F","C",1
"61",0,1.15,0.9062286105,"STNWG",3,"F","A",3
"62",0,0.99,0.3175906913,"HBACK",3,"F","B",3
"63",0,1.75,0.9719370294,"SEDAN",2,"F","B",2
"64",0,2.65,0.0958247775,"SEDAN",1,"F","C",3
"65",1,4.06,0.8514715948,"STNWG",2,"M","F",3
"66",1,1.39,0.3175906913,"HBACK",3,"F","A",4
"67",0,1.19,0.9062286105,"HBACK",2,"F","B",5
"68",0,1.19,0.9062286105,"HBACK",2,"F","A",1
"69",0,0.79,0.3531827515,"HBACK",3,"F","B",2
"70",0,1.74,0.8542094456,"HBACK",2,"F","C",3
"71",0,0.77,0.0930869268,"COUPE",4,"M","C",2
"72",0,2.58,0.0301163587,"HBACK",2,"M","A",5
"73",0,0.79,0.0301163587,"SEDAN",3,"F","E",3
"74",0,1.79,0.6735112936,"UTE",4,"F","E",3
"75",0,1.79,0.0465434634,"HBACK",1,"M","C",6
"76",0,1.9,0.8542094456,"HBACK",1,"M","C",1
"77",0,1.84,0.0958247775,"STNWG",4,"M","A",3
"78",0,0.39,0.0301163587,"HBACK",4,"F","B",4
"79",0,5.39,0.0246406571,"STNWG",2,"M","A",5
"80",0,1.43,0.0301163587,"SEDAN",2,"F","B",4
"81",0,2.33,0.2299794661,"MIBUS",3,"F","C",3
"82",0,3.68,0.34770705,"UTE",1,"F","E",2
"83",0,3.43,0.3175906913,"STNWG",2,"F","D",2
"84",0,1.13,0.2299794661,"SEDAN",3,"M","A",3
"85",0,2.65,0.3175906913,"HDTOP",3,"M","F",5
"86",0,1.98,0.2299794661,"UTE",3,"M","A",2
"87",0,0.68,0.2491444216,"HBACK",3,"F","E",3
"88",0,1.15,0.6652977413,"SEDAN",3,"M","C",4
"89",0,3.19,0.9993155373,"HDTOP",3,"M","F",4
"90",0,1.14,0.3449691992,"SEDAN",3,"M","C",4
"91",0,1.43,0.219028063,"SEDAN",2,"F","C",4
"92",0,1.22,0.7775496235,"HDTOP",4,"F","D",2
"93",0,1.75,0.2436687201,"SEDAN",2,"M","A",4
"94",0,0.38,0.7501711157,"HBACK",4,"F","A",2
"95",0,4.7,0.2327173169,"STNWG",2,"M","D",2
"96",1,2.66,0.3175906913,"STNWG",1,"F","F",5
"97",0,1.59,0.2299794661,"SEDAN",1,"F","A",1
"98",0,0.54,0.0273785079,"SEDAN",4,"M","A",4
"99",1,0.5,0.0711841205,"HBACK",4,"F","A",5
"100",0,1.3,0.2299794661,"HBACK",2,"F","B",1
"101",0,1.41,0.0273785079,"HBACK",2,"F","C",4
"102",0,1.75,0.3175906913,"HBACK",2,"F","B",4
"103",0,2.29,0.0301163587,"UTE",2,"M","C",2
"104",0,4.64,0.2217659138,"STNWG",1,"F","D",3
"105",0,0.8,0.2765229295,"HBACK",3,"M","C",6
"106",0,3.55,0.8514715948,"STNWG",2,"F","C",3
"107",0,1.75,0.3175906913,"HBACK",2,"M","A",3
"108",0,1.48,0.6954140999,"HBACK",2,"F","B",2
"109",0,1.22,0.3942505133,"HBACK",3,"M","C",3
"110",0,3.14,0.3066392882,"UTE",2,"F","A",2
"111",0,1.51,0.3175906913,"STNWG",4,"M","A",4
"112",0,1.65,0.7227926078,"SEDAN",3,"M","C",4
"113",0,1.64,0.3175906913,"UTE",2,"M","C",4
"114",0,2.17,0.3449691992,"STNWG",3,"F","F",5
"115",0,1.31,0.3175906913,"HBACK",2,"M","B",2
"116",1,1.16,0.5968514716,"STNWG",4,"F","B",2
"117",0,0.77,0.8788501027,"SEDAN",4,"F","C",5
"118",0,0.43,0.3175906913,"HBACK",4,"F","B",3
"119",0,4.98,0.7227926078,"STNWG",1,"M","F",5
"120",0,1.72,0.9062286105,"SEDAN",2,"F","D",6
"121",0,2.47,0.6707734428,"HDTOP",3,"M","D",2
"122",0,4.17,0.7227926078,"STNWG",2,"F","C",2
"123",0,1.13,0.2299794661,"SEDAN",3,"M","B",6
"124",0,0.67,0.0273785079,"HBACK",4,"F","A",5
"125",1,3.56,0.9062286105,"MCARA",3,"M","F",4
"126",0,2.56,0.3175906913,"STNWG",2,"F","A",3
"127",0,1.36,0.2299794661,"HBACK",1,"F","C",5
"128",0,3.999,0.9993155373,"SEDAN",1,"M","C",1
"129",0,1.64,0.090349076,"HBACK",2,"F","A",4
"130",1,2.15,0.6543463381,"SEDAN",3,"F","A",5
"131",0,0.89,0.2299794661,"HBACK",3,"M","C",2
"132",1,3.03,0.9034907598,"TRUCK",1,"M","C",1
"133",1,2.41,0.3394934976,"STNWG",3,"M","E",1
"134",0,0.73,0.7693360712,"SEDAN",4,"M","E",5
"135",0,0.82,0.462696783,"HDTOP",4,"F","F",1
"136",0,1.39,0.0930869268,"SEDAN",3,"M","A",2
"137",0,2.54,0.3449691992,"HDTOP",3,"M","C",5
"138",0,0.76,0.3449691992,"SEDAN",4,"M","D",3
"139",0,0.41,0.2299794661,"HBACK",4,"M","A",5
"140",0,3.599,0.5831622177,"STNWG",1,"F","B",3
"141",0,1.98,0.3066392882,"SEDAN",3,"F","A",3
"142",0,0.76,0.2299794661,"SEDAN",4,"F","A",3
"143",0,0.53,0.2299794661,"HBACK",4,"F","B",3
"144",0,1.86,0.3449691992,"STNWG",2,"F","B",4
"145",0,0.22,0.2929500342,"HBACK",4,"M","C",6
"146",0,1.65,0.7227926078,"SEDAN",3,"F","F",3
"147",0,1.33,0.2245037645,"HBACK",3,"F","A",6
"148",0,0.85,0.3066392882,"HBACK",3,"F","A",3
"149",0,1.97,0.6160164271,"STNWG",3,"M","D",5
"150",0,1.15,0.0191649555,"HBACK",4,"F","A",4
"151",0,2.65,0.2902121834,"SEDAN",1,"M","A",5
"152",0,0.45,0.6160164271,"HBACK",4,"F","B",6
"153",0,0.45,0.6160164271,"HBACK",4,"F","A",6
"154",0,0.67,0.6160164271,"SEDAN",4,"F","D",5
"155",0,1.3,0.6488706365,"HBACK",2,"F","C",5
"156",0,0.59,0.6160164271,"COUPE",4,"F","A",4
"157",0,1.55,0.6160164271,"SEDAN",2,"F","E",5
"158",0,1.56,0.2464065708,"SEDAN",1,"F","D",5
"159",0,0.41,0.6160164271,"SEDAN",4,"F","A",5
"160",0,1.72,0.6461327858,"SEDAN",2,"F","B",6
"161",0,0.44,0.6160164271,"SEDAN",4,"M","D",6
"162",0,2.58,0.6160164271,"STNWG",3,"M","D",6
"163",0,1.84,0.2299794661,"PANVN",1,"M","C",3
"164",0,0.22,0.6160164271,"HBACK",4,"F","B",5
"165",1,1.72,0.6160164271,"STNWG",2,"F","A",6
"166",0,3.05,0.2299794661,"STNWG",2,"F","F",2
"167",0,1.85,0.3367556468,"SEDAN",1,"F","D",5
"168",0,3.21,0.6160164271,"STNWG",1,"M","B",4
"169",0,0.89,0.6160164271,"STNWG",4,"M","C",6
"170",0,1.98,0.3832991102,"SEDAN",2,"M","A",2
"171",0,0.52,0.3832991102,"SEDAN",4,"F","A",6
"172",1,1.92,0.6160164271,"STNWG",4,"M","A",5
"173",0,1.15,0.6160164271,"HBACK",3,"F","C",2
"174",0,0.5,0.6160164271,"STNWG",4,"F","C",3
"175",0,6.54,0.2299794661,"STNWG",1,"F","D",4
"176",0,5.14,0.6160164271,"STNWG",1,"M","B",6
"177",0,0.67,0.6160164271,"SEDAN",4,"F","C",4
"178",0,1.39,0.3832991102,"SEDAN",3,"M","C",2
"179",0,4.65,0.3832991102,"STNWG",1,"F","E",3
"180",0,1.43,0.3832991102,"SEDAN",3,"F","D",2
"181",0,0.43,0.3832991102,"SEDAN",4,"F","C",2
"182",0,1.02,0.6187542779,"SEDAN",3,"F","B",5
"183",0,1.51,0.1752224504,"SEDAN",3,"F","B",2
"184",1,2.649,0.257357974,"TRUCK",1,"M","A",1
"185",0,1.31,0.6160164271,"STNWG",4,"M","D",3
"186",0,2.48,0.424366872,"STNWG",3,"M","C",1
"187",0,1.74,0.257357974,"SEDAN",2,"F","A",2
"188",0,1.62,0.0930869268,"STNWG",4,"F","F",3
"189",0,5.43,0.6160164271,"STNWG",1,"F","C",3
"190",0,0.65,0.6160164271,"SEDAN",4,"M","A",4
"191",0,0.35,0.6160164271,"SEDAN",4,"M","E",5
"192",0,3.73,0.6160164271,"STNWG",2,"M","A",5
"193",0,1.61,0.3449691992,"SEDAN",2,"F","C",4
"194",0,0.82,0.6160164271,"HBACK",4,"F","A",6
"195",0,1.33,0.6160164271,"TRUCK",4,"M","F",1
"196",0,0.78,0.3422313484,"HBACK",3,"F","C",4
"197",0,3.98,0.6160164271,"STNWG",2,"F","C",2
"198",0,0.95,0.6160164271,"HDTOP",4,"M","A",6
"199",0,1.14,0.3832991102,"SEDAN",4,"F","B",3
"200",0,0.53,0.6160164271,"SEDAN",4,"F","D",5
"201",0,1.5,0.6160164271,"STNWG",4,"M","A",3
"202",0,1.76,0.6160164271,"STNWG",2,"M","C",3
"203",0,1,0.3148528405,"HBACK",2,"M","B",4
"204",0,1.22,0.6160164271,"HBACK",3,"M","A",4
"205",0,2.82,0.3832991102,"STNWG",3,"F","C",3
"206",0,2.13,0.900752909,"HDTOP",2,"F","A",2
"207",0,1.01,0.2847364819,"STNWG",4,"M","B",6
"208",0,1.84,0.6160164271,"SEDAN",2,"F","A",6
"209",0,3.11,0.3832991102,"TRUCK",3,"M","C",3
"210",0,0.39,0.6160164271,"SEDAN",4,"M","A",4
"211",0,1.01,0.0930869268,"HBACK",3,"F","E",1
"212",0,2.58,0.6160164271,"STNWG",3,"M","C",5
"213",0,0.51,0.6160164271,"SEDAN",4,"F","A",4
"214",0,1.02,0.6160164271,"SEDAN",3,"F","C",6
"215",0,1.63,0.6461327858,"HBACK",2,"F","C",5
"216",0,0.84,0.6160164271,"HBACK",3,"F","C",4
"217",0,2.34,0.6160164271,"HBACK",3,"M","C",5
"218",1,1.86,0.6160164271,"SEDAN",2,"F","C",3
"219",0,7.2,0.6160164271,"SEDAN",3,"F","D",6
"220",0,0.46,0.6160164271,"STNWG",4,"F","A",4
"221",0,1.66,0.9034907598,"STNWG",3,"F","A",3
"222",0,3.71,0.7665982204,"STNWG",1,"F","C",3
"223",0,1.62,0.6160164271,"STNWG",4,"F","F",3
"224",0,0.58,0.6160164271,"COUPE",4,"F","B",4
"225",0,3.06,0.6160164271,"STNWG",3,"F","F",4
"226",0,1.17,0.7693360712,"SEDAN",3,"F","D",1
"227",0,0.98,0.6160164271,"SEDAN",3,"F","B",3
"228",0,1.02,0.6160164271,"HBACK",4,"F","B",2
"229",0,1.4,0.6160164271,"SEDAN",3,"F","A",4
"230",0,2.97,0.0985626283,"STNWG",1,"M","F",4
"231",0,1.78,0.6187542779,"SEDAN",2,"F","C",2
"232",0,0.41,0.3449691992,"HBACK",4,"F","B",3
"233",0,2.74,0.9418206708,"STNWG",2,"M","C",3
"234",0,5.299,0.3832991102,"STNWG",1,"F","D",3
"235",0,1.42,0.2546201232,"HBACK",1,"M","C",3
"236",0,2.01,0.6160164271,"HDTOP",3,"M","E",5
"237",1,1.54,0.6160164271,"STNWG",2,"F","B",3
"238",0,4,0.6160164271,"STNWG",2,"F","A",4
"239",0,1.3,0.6461327858,"HBACK",2,"M","C",4
"240",0,1.34,0.1724845996,"HBACK",2,"F","B",3
"241",0,1.67,0.3832991102,"STNWG",2,"F","E",5
"242",1,1.88,0.7501711157,"PANVN",3,"M","D",3
"243",0,1.03,0.3449691992,"HBACK",3,"F","D",4
"244",0,1.43,0.2299794661,"TRUCK",4,"M","D",1
"245",1,0.89,0.6844626968,"SEDAN",3,"F","D",3
"246",0,1.13,0.0930869268,"STNWG",4,"F","B",2
"247",0,1.9,0.1916495551,"PANVN",3,"M","C",5
"248",0,2.11,0.8706365503,"HBACK",2,"F","C",3
"249",0,1.82,0.7501711157,"UTE",1,"M","D",4
"250",0,0,0.9993155373,"BUS",3,"M","F",5
"251",0,3.03,0.7529089665,"STNWG",1,"M","D",3
"252",0,3.7,0.4161533196,"STNWG",3,"M","C",1
"253",0,2.22,0.3915126626,"HDTOP",3,"F","C",2
"254",0,2.15,0.6461327858,"SEDAN",3,"F","A",4
"255",0,0.58,0.6461327858,"HBACK",4,"M","A",3
"256",0,1.53,0.6269678302,"STNWG",4,"M","A",4
"257",0,1.55,0.6461327858,"HBACK",2,"F","C",2
"258",0,1.12,0.6461327858,"STNWG",4,"M","A",3
"259",0,0.48,0.925393566,"HBACK",4,"F","A",6
"260",0,1.67,0.0930869268,"TRUCK",1,"M","B",2
"261",0,1.02,0.643394935,"HBACK",3,"M","C",4
"262",0,1.64,0.2491444216,"STNWG",4,"M","C",3
"263",0,2.01,0.5557837098,"TRUCK",3,"M","F",5
"264",0,0.85,0.925393566,"HBACK",3,"F","B",4
"265",0,1.42,0.6461327858,"HBACK",1,"F","C",6
"266",0,2.75,0.2491444216,"STNWG",3,"F","B",3
"267",0,1.66,0.128678987,"SEDAN",2,"M","F",3
"268",0,1.66,0.2299794661,"SEDAN",3,"M","C",5
"269",0,1.18,0.219028063,"STNWG",4,"F","B",3
"270",0,0.95,0.7173169062,"SEDAN",4,"F","C",6
"271",0,1.77,0.643394935,"SEDAN",2,"M","C",4
"272",0,1.3,0.720054757,"HBACK",1,"F","B",3
"273",0,0.65,0.7857631759,"MIBUS",4,"F","B",5
"274",0,0.73,0.9062286105,"SEDAN",4,"M","C",6
"275",0,1.12,0.5037645448,"HBACK",2,"F","B",1
"276",0,0.98,0.2299794661,"HBACK",3,"F","E",6
"277",0,1.399,0.7693360712,"HBACK",1,"F","B",5
"278",0,1.31,0.1998631075,"UTE",4,"M","C",5
"279",0,1.76,0.2299794661,"SEDAN",1,"F","E",1
"280",0,1.42,0.900752909,"HBACK",1,"F","C",3
"281",0,0.41,0.2299794661,"SEDAN",4,"F","E",2
"282",0,4,0.2299794661,"STNWG",2,"M","C",3
"283",0,1.19,0.0930869268,"UTE",4,"M","B",4
"284",0,0.47,0.7501711157,"HBACK",4,"F","C",1
"285",0,2.01,0.0273785079,"UTE",3,"F","F",3
"286",0,1.55,0.9062286105,"HDTOP",4,"M","D",1
"287",0,1.45,0.1998631075,"SEDAN",2,"F","D",2
"288",0,1.2,0.0930869268,"HBACK",2,"M","C",1
"289",0,1.03,0.2299794661,"STNWG",3,"F","A",1
"290",0,1.89,0.8514715948,"STNWG",2,"F","A",6
"291",0,2,0.3011635866,"SEDAN",1,"M","B",4
"292",0,1.73,0.2491444216,"SEDAN",2,"M","F",3
"293",0,1.07,0.2299794661,"SEDAN",3,"F","D",2
"294",0,2.72,0.2491444216,"SEDAN",1,"F","A",3
"295",0,3.22,0.8514715948,"UTE",1,"M","C",3
"296",0,0.45,0.2354551677,"COUPE",4,"F","E",4
"297",0,0.48,0.052019165,"SEDAN",4,"F","C",6
"298",0,1.22,0.605065024,"HBACK",3,"M","C",4
"299",0,3.19,0.9993155373,"HBACK",2,"F","A",4
"300",0,2.79,0.3778234086,"SEDAN",1,"F","C",2
"301",0,0.9,0.8514715948,"SEDAN",4,"M","A",2
"302",0,6.1,0.2491444216,"SEDAN",1,"M","C",5
"303",1,4.46,0.1916495551,"COUPE",2,"M","B",2
"304",0,4.56,0.6488706365,"MIBUS",2,"M","C",3
"305",0,1.48,0.1998631075,"HBACK",1,"F","C",5
"306",0,2.33,0.8514715948,"SEDAN",2,"M","C",5
"307",0,2.67,0.2491444216,"STNWG",3,"F","D",4
"308",0,1.59,0.0273785079,"SEDAN",2,"F","A",3
"309",1,4.32,0.6461327858,"STNWG",2,"M","A",5
"310",0,1.05,0.5393566051,"HBACK",2,"M","C",3
"311",0,1.06,0.925393566,"STNWG",3,"M","E",4
"312",0,6.07,0.2491444216,"STNWG",1,"M","E",3
"313",1,5.59,0.8514715948,"STNWG",1,"M","C",3
"314",1,1.44,0.6652977413,"UTE",4,"M","F",2
"315",0,1.41,0.0739219713,"HBACK",2,"F","C",6
"316",0,0.47,0.1998631075,"SEDAN",4,"M","A",3
"317",0,1.84,0.3531827515,"STNWG",4,"F","B",4
"318",1,2.81,0.8514715948,"STNWG",1,"M","C",3
"319",0,2.55,0.2491444216,"SEDAN",1,"F","C",5
"320",0,3.01,0.848733744,"STNWG",2,"M","E",4
"321",0,1.6,0.2491444216,"HBACK",2,"F","D",4
"322",0,1.59,0.772073922,"PANVN",3,"F","D",5
"323",0,2.01,0.6461327858,"HDTOP",3,"F","D",2
"324",0,1.43,0.6461327858,"STNWG",4,"F","D",6
"325",0,0.73,0.4024640657,"SEDAN",4,"F","B",3
"326",0,0.79,0.2354551677,"SEDAN",4,"F","C",4
"327",0,1.49,0.3531827515,"HBACK",2,"F","C",4
"328",0,0.67,0.925393566,"SEDAN",4,"M","C",5
"329",0,1.23,0.772073922,"HBACK",2,"F","A",2
"330",0,1.67,0.0273785079,"SEDAN",2,"F","E",6
"331",0,1.26,0.3559206023,"HBACK",3,"F","C",1
"332",0,3.75,0.6461327858,"STNWG",2,"F","E",3
"333",0,0.34,0.643394935,"SEDAN",4,"F","D",4
"334",0,1.61,0.3531827515,"HBACK",2,"M","B",3
"335",0,1.41,0.9993155373,"SEDAN",2,"F","A",2
"336",0,2.95,0.2491444216,"STNWG",1,"F","D",6
"337",0,1.578,0.8514715948,"HBACK",1,"M","A",4
"338",0,1.12,0.2217659138,"HBACK",2,"F","B",3
"339",0,1.36,0.0273785079,"SEDAN",2,"F","C",4
"340",0,0.92,0.2491444216,"HBACK",3,"F","C",2
"341",0,0.73,0.8514715948,"HBACK",3,"F","C",1
"342",0,1.22,0.9993155373,"HBACK",3,"F","E",6
"343",0,5.65,0.1040383299,"STNWG",1,"M","C",3
"344",1,3,0.6132785763,"STNWG",3,"F","C",2
"345",0,0.54,0.2272416153,"HBACK",4,"F","A",4
"346",0,1.76,0.1998631075,"HBACK",1,"F","B",5
"347",0,1.07,0.3312799452,"STNWG",4,"M","B",3
"348",0,1.14,0.1451060917,"UTE",4,"M","A",2
"349",0,0.2,0.0958247775,"HBACK",4,"M","A",3
"350",0,1.51,0.6461327858,"UTE",3,"M","B",3
"351",1,2.29,0.3531827515,"STNWG",4,"F","F",4
"352",1,0.39,0.925393566,"SEDAN",4,"F","C",6
"353",0,1.75,0.2217659138,"HBACK",2,"F","B",2
"354",0,1.31,0.3148528405,"HBACK",2,"F","A",1
"355",0,0.47,0.3915126626,"STNWG",4,"F","D",3
"356",0,1.09,0.2080766598,"HBACK",3,"F","C",3
"357",0,1.3,0.2491444216,"HBACK",2,"F","C",5
"358",0,1.23,0.772073922,"HBACK",2,"M","C",1
"359",0,1.9,0.2272416153,"SEDAN",1,"F","A",4
"360",0,1.87,0.8514715948,"HBACK",3,"F","A",4
"361",0,1.17,0.1259411362,"STNWG",4,"M","C",3
"362",0,2.37,0.643394935,"MIBUS",3,"M","C",3
"363",0,1.68,0.2245037645,"HBACK",3,"F","C",4
"364",0,1.83,0.3531827515,"SEDAN",3,"M","C",1
"365",1,1.29,0.925393566,"SEDAN",3,"M","D",3
"366",0,0.3,0.2299794661,"HBACK",4,"M","B",4
"367",0,1.52,0.2491444216,"HBACK",3,"F","A",3
"368",0,2.35,0.643394935,"COUPE",2,"F","C",3
"369",0,0.34,0.2135523614,"HBACK",4,"F","B",1
"370",0,0.99,0.2491444216,"HBACK",2,"F","E",5
"371",0,1.84,0.8514715948,"HBACK",2,"F","A",4
"372",0,1.23,0.8514715948,"HBACK",3,"F","B",4
"373",0,2.03,0.6899383984,"SEDAN",2,"F","A",5
"374",0,1.51,0.2272416153,"HDTOP",4,"M","C",2
"375",0,0.76,0.2272416153,"SEDAN",4,"F","B",1
"376",0,1.9,0.2245037645,"STNWG",4,"F","C",4
"377",0,2.75,0.1752224504,"STNWG",1,"F","C",3
"378",0,0.9,0.2245037645,"SEDAN",3,"F","A",6
"379",0,1.74,0.720054757,"HBACK",2,"F","A",6
"380",0,2.39,0.925393566,"STNWG",3,"M","E",6
"381",0,2.14,0.6461327858,"UTE",3,"M","E",4
"382",0,1.03,0.6461327858,"HBACK",2,"F","C",2
"383",0,1.28,0.605065024,"STNWG",4,"M","F",4
"384",0,0.67,0.2272416153,"COUPE",4,"F","B",3
"385",0,0.9,0.720054757,"HBACK",3,"F","B",4
"386",0,1.07,0.2491444216,"SEDAN",3,"M","C",4
"387",0,2.29,0.2491444216,"SEDAN",1,"M","C",3
"388",1,1.13,0.3778234086,"SEDAN",4,"F","B",1
"389",0,1.37,0.8514715948,"HBACK",2,"M","A",3
"390",0,0.62,0.8514715948,"COUPE",4,"M","A",4
"391",0,1.26,0.0465434634,"HBACK",2,"F","F",2
"392",0,1.98,0.0410677618,"STNWG",4,"F","C",4
"393",1,0,0.9993155373,"STNWG",4,"M","A",3
"394",0,2.04,0.2491444216,"HBACK",1,"M","B",1
"395",0,2.1,0.2491444216,"COUPE",3,"F","A",3
"396",0,1.82,0.2245037645,"HBACK",1,"F","A",4
"397",0,0.31,0.7830253251,"HBACK",4,"F","E",6
"398",0,2.29,0.2491444216,"SEDAN",1,"M","A",2
"399",0,1.38,0.2491444216,"HBACK",1,"F","B",1
"400",0,1.85,0.2792607803,"SEDAN",2,"F","C",3
"401",0,1.5,0.0273785079,"HBACK",2,"F","C",3
"402",0,2.78,0.0739219713,"SEDAN",2,"M","C",5
"403",0,2.49,0.5256673511,"SEDAN",2,"M","C",3
"404",0,1.3,0.1396303901,"HDTOP",4,"M","C",3
"405",0,5.236,0.2245037645,"STNWG",1,"M","C",3
"406",0,0.99,0.0273785079,"SEDAN",3,"F","B",5
"407",0,0.93,0.8514715948,"SEDAN",4,"F","B",4
"408",0,2.76,0.720054757,"STNWG",1,"F","D",3
"409",0,1.62,0.925393566,"SEDAN",3,"M","A",5
"410",0,3.22,0.3093771389,"HDTOP",2,"F","F",2
"411",1,2.41,0.7501711157,"HBACK",1,"F","B",3
"412",0,1.11,0.2245037645,"UTE",4,"M","C",2
"413",0,0.66,0.8514715948,"HBACK",4,"F","A",2
"414",0,3.69,0.7501711157,"TRUCK",2,"M","C",1
"415",0,0.93,0.2546201232,"TRUCK",4,"F","B",5
"416",0,1.67,0.3011635866,"HBACK",2,"F","A",6
"417",0,1.86,0.2217659138,"SEDAN",1,"M","C",1
"418",1,3.47,0.2464065708,"SEDAN",1,"M","B",3
"419",0,1.53,0.2792607803,"UTE",3,"M","C",2
"420",0,1.39,0.8295687885,"HBACK",1,"F","A",4
"421",0,1.26,0.3093771389,"HBACK",2,"M","B",4
"422",0,2.82,0.8295687885,"STNWG",1,"M","A",5
"423",0,1.79,0.3148528405,"SEDAN",2,"M","D",4
"424",0,1.2,0.2245037645,"HBACK",1,"F","C",3
"425",1,3.14,0.8514715948,"TRUCK",3,"M","C",1
"426",0,0.68,0.3093771389,"HBACK",3,"F","D",3
"427",0,1.17,0.6461327858,"HBACK",2,"M","C",3
"428",0,1.71,0.3586584531,"SEDAN",2,"F","A",3
"429",0,1.12,0.3093771389,"HBACK",3,"F","C",2
"430",0,0.39,0.2245037645,"HBACK",4,"M","B",3
"431",0,1.64,0.6899383984,"STNWG",3,"F","C",4
"432",0,1.349,0.5475701574,"HBACK",1,"F","C",3
"433",0,1.81,0.720054757,"HBACK",4,"M","C",2
"434",0,0.55,0.1013004791,"HBACK",4,"F","A",1
"435",0,1,0.2245037645,"HBACK",3,"F","B",2
"436",0,1.18,0.0739219713,"SEDAN",3,"M","B",6
"437",0,2,0.1724845996,"SEDAN",2,"F","C",4
"438",0,1.428,0.5256673511,"HBACK",1,"F","C",4
"439",0,2.87,0.2245037645,"STNWG",2,"F","A",3
"440",0,1.16,0.8624229979,"SEDAN",3,"M","A",6
"441",0,0.92,0.0273785079,"SEDAN",3,"M","C",4
"442",0,1.38,0.9034907598,"HBACK",2,"F","C",3
"443",0,1.64,0.3093771389,"STNWG",4,"M","A",2
"444",0,2.3,0.6981519507,"STNWG",3,"M","B",5
"445",0,1.74,0.2162902122,"SEDAN",2,"F","C",4
"446",0,1.37,0.8459958932,"HBACK",1,"F","C",1
"447",0,1.3,0.9034907598,"HDTOP",4,"F","B",1
