clm,exposure,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,veh_value
0,0.317590691,0,0,STNWG,4,M,A,4,1.51
0,0.722792608,0,0,SEDAN,3,M,C,4,1.65
0,0.317590691,0,0,UTE,2,M,C,4,1.64
0,0.344969199,0,0,STNWG,3,F,F,5,2.17
0,0.317590691,0,0,HBACK,2,M,B,2,1.31
1,0.596851472,2,739.2299995,STNWG,4,F,B,2,1.16
0,0.878850103,0,0,SEDAN,4,F,C,5,0.77
0,0.317590691,0,0,HBACK,4,F,B,3,0.43
0,0.722792608,0,0,STNWG,1,M,F,5,4.98
0,0.906228611,0,0,SEDAN,2,F,D,6,1.72
0,0.670773443,0,0,HDTOP,3,M,D,2,2.47
0,0.722792608,0,0,STNWG,2,F,C,2,4.17
0,0.229979466,0,0,SEDAN,3,M,B,6,1.13
0,0.027378508,0,0,HBACK,4,F,A,5,0.67
1,0.906228611,1,3230.599999,MCARA,3,M,F,4,3.56
0,0.317590691,0,0,STNWG,2,F,A,3,2.56
0,0.229979466,0,0,HBACK,1,F,C,5,1.36
0,0.999315537,0,0,SEDAN,1,M,C,1,3.999
0,0.090349076,0,0,HBACK,2,F,A,4,1.64
1,0.654346338,1,200,SEDAN,3,F,A,5,2.15
0,0.229979466,0,0,HBACK,3,M,C,2,0.89
1,0.90349076,1,200,TRUCK,1,M,C,1,3.03
1,0.339493498,1,407.8399997,STNWG,3,M,E,1,2.41
0,0.769336071,0,0,SEDAN,4,M,E,5,0.73
0,0.462696783,0,0,HDTOP,4,F,F,1,0.82
0,0.093086927,0,0,SEDAN,3,M,A,2,1.39
0,0.344969199,0,0,HDTOP,3,M,C,5,2.54
0,0.344969199,0,0,SEDAN,4,M,D,3,0.76
0,0.229979466,0,0,HBACK,4,M,A,5,0.41
0,0.583162218,0,0,STNWG,1,F,B,3,3.599
0,0.306639288,0,0,SEDAN,3,F,A,3,1.98
0,0.229979466,0,0,SEDAN,4,F,A,3,0.76
0,0.229979466,0,0,HBACK,4,F,B,3,0.53
0,0.344969199,0,0,STNWG,2,F,B,4,1.86
0,0.292950034,0,0,HBACK,4,M,C,6,0.22
0,0.722792608,0,0,SEDAN,3,F,F,3,1.65
0,0.224503765,0,0,HBACK,3,F,A,6,1.33
0,0.306639288,0,0,HBACK,3,F,A,3,0.85
0,0.616016427,0,0,STNWG,3,M,D,5,1.97
0,0.019164956,0,0,HBACK,4,F,A,4,1.15
0,0.290212183,0,0,SEDAN,1,M,A,5,2.65
0,0.616016427,0,0,HBACK,4,F,B,6,0.45
0,0.616016427,0,0,HBACK,4,F,A,6,0.45
0,0.616016427,0,0,SEDAN,4,F,D,5,0.67
0,0.648870637,0,0,HBACK,2,F,C,5,1.3
0,0.616016427,0,0,COUPE,4,F,A,4,0.59
0,0.616016427,0,0,SEDAN,2,F,E,5,1.55
0,0.246406571,0,0,SEDAN,1,F,D,5,1.56
0,0.616016427,0,0,SEDAN,4,F,A,5,0.41
0,0.646132786,0,0,SEDAN,2,F,B,6,1.72
0,0.616016427,0,0,SEDAN,4,M,D,6,0.44
0,0.616016427,0,0,STNWG,3,M,D,6,2.58
0,0.229979466,0,0,PANVN,1,M,C,3,1.84
0,0.616016427,0,0,HBACK,4,F,B,5,0.22
1,0.616016427,1,1619.829998,STNWG,2,F,A,6,1.72
0,0.229979466,0,0,STNWG,2,F,F,2,3.05
0,0.336755647,0,0,SEDAN,1,F,D,5,1.85
0,0.616016427,0,0,STNWG,1,M,B,4,3.21
0,0.616016427,0,0,STNWG,4,M,C,6,0.89
0,0.38329911,0,0,SEDAN,2,M,A,2,1.98
0,0.38329911,0,0,SEDAN,4,F,A,6,0.52
1,0.616016427,1,1010.919998,STNWG,4,M,A,5,1.92
0,0.616016427,0,0,HBACK,3,F,C,2,1.15
0,0.616016427,0,0,STNWG,4,F,C,3,0.5
0,0.229979466,0,0,STNWG,1,F,D,4,6.54
0,0.616016427,0,0,STNWG,1,M,B,6,5.14
0,0.616016427,0,0,SEDAN,4,F,C,4,0.67
0,0.38329911,0,0,SEDAN,3,M,C,2,1.39
0,0.38329911,0,0,STNWG,1,F,E,3,4.65
0,0.38329911,0,0,SEDAN,3,F,D,2,1.43
0,0.38329911,0,0,SEDAN,4,F,C,2,0.43
0,0.618754278,0,0,SEDAN,3,F,B,5,1.02
0,0.17522245,0,0,SEDAN,3,F,B,2,1.51
1,0.257357974,1,9424.349976,TRUCK,1,M,A,1,2.649
0,0.616016427,0,0,STNWG,4,M,D,3,1.31
0,0.424366872,0,0,STNWG,3,M,C,1,2.48
0,0.257357974,0,0,SEDAN,2,F,A,2,1.74
0,0.093086927,0,0,STNWG,4,F,F,3,1.62
0,0.616016427,0,0,STNWG,1,F,C,3,5.43
0,0.616016427,0,0,SEDAN,4,M,A,4,0.65
0,0.616016427,0,0,SEDAN,4,M,E,5,0.35
0,0.616016427,0,0,STNWG,2,M,A,5,3.73
0,0.344969199,0,0,SEDAN,2,F,C,4,1.61
0,0.616016427,0,0,HBACK,4,F,A,6,0.82
0,0.616016427,0,0,TRUCK,4,M,F,1,1.33
0,0.342231348,0,0,HBACK,3,F,C,4,0.78
0,0.616016427,0,0,STNWG,2,F,C,2,3.98
0,0.616016427,0,0,HDTOP,4,M,A,6,0.95
0,0.38329911,0,0,SEDAN,4,F,B,3,1.14
0,0.616016427,0,0,SEDAN,4,F,D,5,0.53
0,0.616016427,0,0,STNWG,4,M,A,3,1.5
0,0.616016427,0,0,STNWG,2,M,C,3,1.76
0,0.314852841,0,0,HBACK,2,M,B,4,1
0,0.616016427,0,0,HBACK,3,M,A,4,1.22
0,0.38329911,0,0,STNWG,3,F,C,3,2.82
0,0.900752909,0,0,HDTOP,2,F,A,2,2.13
0,0.284736482,0,0,STNWG,4,M,B,6,1.01
0,0.616016427,0,0,SEDAN,2,F,A,6,1.84
0,0.38329911,0,0,TRUCK,3,M,C,3,3.11
0,0.616016427,0,0,SEDAN,4,M,A,4,0.39
0,0.093086927,0,0,HBACK,3,F,E,1,1.01
0,0.616016427,0,0,STNWG,3,M,C,5,2.58
0,0.616016427,0,0,SEDAN,4,F,A,4,0.51
0,0.616016427,0,0,SEDAN,3,F,C,6,1.02
0,0.646132786,0,0,HBACK,2,F,C,5,1.63
0,0.616016427,0,0,HBACK,3,F,C,4,0.84
0,0.616016427,0,0,HBACK,3,M,C,5,2.34
1,0.616016427,1,238.6400003,SEDAN,2,F,C,3,1.86
0,0.616016427,0,0,SEDAN,3,F,D,6,7.2
0,0.616016427,0,0,STNWG,4,F,A,4,0.46
0,0.90349076,0,0,STNWG,3,F,A,3,1.66
0,0.76659822,0,0,STNWG,1,F,C,3,3.71
0,0.616016427,0,0,STNWG,4,F,F,3,1.62
0,0.616016427,0,0,COUPE,4,F,B,4,0.58
0,0.616016427,0,0,STNWG,3,F,F,4,3.06
0,0.769336071,0,0,SEDAN,3,F,D,1,1.17
0,0.616016427,0,0,SEDAN,3,F,B,3,0.98
0,0.616016427,0,0,HBACK,4,F,B,2,1.02
0,0.616016427,0,0,SEDAN,3,F,A,4,1.4
0,0.098562628,0,0,STNWG,1,M,F,4,2.97
0,0.618754278,0,0,SEDAN,2,F,C,2,1.78
0,0.344969199,0,0,HBACK,4,F,B,3,0.41
0,0.941820671,0,0,STNWG,2,M,C,3,2.74
0,0.38329911,0,0,STNWG,1,F,D,3,5.299
0,0.254620123,0,0,HBACK,1,M,C,3,1.42
0,0.616016427,0,0,HDTOP,3,M,E,5,2.01
1,0.616016427,1,200,STNWG,2,F,B,3,1.54
0,0.616016427,0,0,STNWG,2,F,A,4,4
0,0.646132786,0,0,HBACK,2,M,C,4,1.3
0,0.1724846,0,0,HBACK,2,F,B,3,1.34
0,0.38329911,0,0,STNWG,2,F,E,5,1.67
1,0.750171116,1,369.1799998,PANVN,3,M,D,3,1.88
0,0.344969199,0,0,HBACK,3,F,D,4,1.03
0,0.229979466,0,0,TRUCK,4,M,D,1,1.43
1,0.684462697,1,353.77,SEDAN,3,F,D,3,0.89
0,0.093086927,0,0,STNWG,4,F,B,2,1.13
0,0.191649555,0,0,PANVN,3,M,C,5,1.9
0,0.87063655,0,0,HBACK,2,F,C,3,2.11
0,0.750171116,0,0,UTE,1,M,D,4,1.82
0,0.999315537,0,0,BUS,3,M,F,5,0
0,0.752908967,0,0,STNWG,1,M,D,3,3.03
0,0.41615332,0,0,STNWG,3,M,C,1,3.7
0,0.391512663,0,0,HDTOP,3,F,C,2,2.22
0,0.646132786,0,0,SEDAN,3,F,A,4,2.15
0,0.646132786,0,0,HBACK,4,M,A,3,0.58
0,0.62696783,0,0,STNWG,4,M,A,4,1.53
0,0.646132786,0,0,HBACK,2,F,C,2,1.55
0,0.646132786,0,0,STNWG,4,M,A,3,1.12
0,0.925393566,0,0,HBACK,4,F,A,6,0.48
0,0.093086927,0,0,TRUCK,1,M,B,2,1.67
0,0.643394935,0,0,HBACK,3,M,C,4,1.02
0,0.249144422,0,0,STNWG,4,M,C,3,1.64
0,0.55578371,0,0,TRUCK,3,M,F,5,2.01
0,0.925393566,0,0,HBACK,3,F,B,4,0.85
0,0.646132786,0,0,HBACK,1,F,C,6,1.42
0,0.249144422,0,0,STNWG,3,F,B,3,2.75
0,0.128678987,0,0,SEDAN,2,M,F,3,1.66
0,0.229979466,0,0,SEDAN,3,M,C,5,1.66
0,0.219028063,0,0,STNWG,4,F,B,3,1.18
0,0.717316906,0,0,SEDAN,4,F,C,6,0.95
0,0.643394935,0,0,SEDAN,2,M,C,4,1.77
0,0.720054757,0,0,HBACK,1,F,B,3,1.3
0,0.785763176,0,0,MIBUS,4,F,B,5,0.65
0,0.906228611,0,0,SEDAN,4,M,C,6,0.73
0,0.503764545,0,0,HBACK,2,F,B,1,1.12
0,0.229979466,0,0,HBACK,3,F,E,6,0.98
0,0.769336071,0,0,HBACK,1,F,B,5,1.399
0,0.199863108,0,0,UTE,4,M,C,5,1.31
0,0.229979466,0,0,SEDAN,1,F,E,1,1.76
0,0.900752909,0,0,HBACK,1,F,C,3,1.42
0,0.229979466,0,0,SEDAN,4,F,E,2,0.41
0,0.229979466,0,0,STNWG,2,M,C,3,4
0,0.093086927,0,0,UTE,4,M,B,4,1.19
0,0.750171116,0,0,HBACK,4,F,C,1,0.47
0,0.027378508,0,0,UTE,3,F,F,3,2.01
0,0.906228611,0,0,HDTOP,4,M,D,1,1.55
0,0.199863108,0,0,SEDAN,2,F,D,2,1.45
0,0.093086927,0,0,HBACK,2,M,C,1,1.2
0,0.229979466,0,0,STNWG,3,F,A,1,1.03
0,0.851471595,0,0,STNWG,2,F,A,6,1.89
0,0.301163587,0,0,SEDAN,1,M,B,4,2
0,0.249144422,0,0,SEDAN,2,M,F,3,1.73
0,0.229979466,0,0,SEDAN,3,F,D,2,1.07
0,0.249144422,0,0,SEDAN,1,F,A,3,2.72
0,0.851471595,0,0,UTE,1,M,C,3,3.22
0,0.235455168,0,0,COUPE,4,F,E,4,0.45
0,0.052019165,0,0,SEDAN,4,F,C,6,0.48
0,0.605065024,0,0,HBACK,3,M,C,4,1.22
0,0.999315537,0,0,HBACK,2,F,A,4,3.19
0,0.377823409,0,0,SEDAN,1,F,C,2,2.79
0,0.851471595,0,0,SEDAN,4,M,A,2,0.9
0,0.249144422,0,0,SEDAN,1,M,C,5,6.1
1,0.191649555,1,989.9199982,COUPE,2,M,B,2,4.46
0,0.648870637,0,0,MIBUS,2,M,C,3,4.56
0,0.199863108,0,0,HBACK,1,F,C,5,1.48
0,0.851471595,0,0,SEDAN,2,M,C,5,2.33
0,0.249144422,0,0,STNWG,3,F,D,4,2.67
0,0.027378508,0,0,SEDAN,2,F,A,3,1.59
1,0.646132786,1,736.8499985,STNWG,2,M,A,5,4.32
0,0.539356605,0,0,HBACK,2,M,C,3,1.05
0,0.925393566,0,0,STNWG,3,M,E,4,1.06
0,0.249144422,0,0,STNWG,1,M,E,3,6.07
1,0.851471595,1,369.1499996,STNWG,1,M,C,3,5.59
1,0.665297741,1,500,UTE,4,M,F,2,1.44
0,0.073921971,0,0,HBACK,2,F,C,6,1.41
0,0.199863108,0,0,SEDAN,4,M,A,3,0.47
0,0.353182752,0,0,STNWG,4,F,B,4,1.84
1,0.851471595,1,353.77,STNWG,1,M,C,3,2.81
0,0.249144422,0,0,SEDAN,1,F,C,5,2.55
0,0.848733744,0,0,STNWG,2,M,E,4,3.01
0,0.249144422,0,0,HBACK,2,F,D,4,1.6
0,0.772073922,0,0,PANVN,3,F,D,5,1.59
0,0.646132786,0,0,HDTOP,3,F,D,2,2.01
0,0.646132786,0,0,STNWG,4,F,D,6,1.43
0,0.402464066,0,0,SEDAN,4,F,B,3,0.73
0,0.235455168,0,0,SEDAN,4,F,C,4,0.79
0,0.353182752,0,0,HBACK,2,F,C,4,1.49
0,0.925393566,0,0,SEDAN,4,M,C,5,0.67
0,0.772073922,0,0,HBACK,2,F,A,2,1.23
0,0.027378508,0,0,SEDAN,2,F,E,6,1.67
0,0.355920602,0,0,HBACK,3,F,C,1,1.26
0,0.646132786,0,0,STNWG,2,F,E,3,3.75
0,0.643394935,0,0,SEDAN,4,F,D,4,0.34
0,0.353182752,0,0,HBACK,2,M,B,3,1.61
0,0.999315537,0,0,SEDAN,2,F,A,2,1.41
0,0.249144422,0,0,STNWG,1,F,D,6,2.95
0,0.851471595,0,0,HBACK,1,M,A,4,1.578
0,0.221765914,0,0,HBACK,2,F,B,3,1.12
0,0.027378508,0,0,SEDAN,2,F,C,4,1.36
0,0.249144422,0,0,HBACK,3,F,C,2,0.92
0,0.851471595,0,0,HBACK,3,F,C,1,0.73
0,0.999315537,0,0,HBACK,3,F,E,6,1.22
0,0.10403833,0,0,STNWG,1,M,C,3,5.65
1,0.613278576,1,6372.029999,STNWG,3,F,C,2,3
0,0.227241615,0,0,HBACK,4,F,A,4,0.54
0,0.199863108,0,0,HBACK,1,F,B,5,1.76
0,0.331279945,0,0,STNWG,4,M,B,3,1.07
0,0.145106092,0,0,UTE,4,M,A,2,1.14
0,0.095824778,0,0,HBACK,4,M,A,3,0.2
0,0.646132786,0,0,UTE,3,M,B,3,1.51
1,0.353182752,1,500,STNWG,4,F,F,4,2.29
1,0.925393566,1,1379.039997,SEDAN,4,F,C,6,0.39
0,0.221765914,0,0,HBACK,2,F,B,2,1.75
0,0.314852841,0,0,HBACK,2,F,A,1,1.31
0,0.391512663,0,0,STNWG,4,F,D,3,0.47
0,0.20807666,0,0,HBACK,3,F,C,3,1.09
0,0.249144422,0,0,HBACK,2,F,C,5,1.3
0,0.772073922,0,0,HBACK,2,M,C,1,1.23
0,0.227241615,0,0,SEDAN,1,F,A,4,1.9
0,0.851471595,0,0,HBACK,3,F,A,4,1.87
0,0.125941136,0,0,STNWG,4,M,C,3,1.17
0,0.643394935,0,0,MIBUS,3,M,C,3,2.37
0,0.224503765,0,0,HBACK,3,F,C,4,1.68
0,0.353182752,0,0,SEDAN,3,M,C,1,1.83
1,0.925393566,1,200,SEDAN,3,M,D,3,1.29
0,0.229979466,0,0,HBACK,4,M,B,4,0.3
0,0.249144422,0,0,HBACK,3,F,A,3,1.52
0,0.643394935,0,0,COUPE,2,F,C,3,2.35
0,0.213552361,0,0,HBACK,4,F,B,1,0.34
0,0.249144422,0,0,HBACK,2,F,E,5,0.99
0,0.851471595,0,0,HBACK,2,F,A,4,1.84
0,0.851471595,0,0,HBACK,3,F,B,4,1.23
0,0.689938398,0,0,SEDAN,2,F,A,5,2.03
0,0.227241615,0,0,HDTOP,4,M,C,2,1.51
0,0.227241615,0,0,SEDAN,4,F,B,1,0.76
0,0.224503765,0,0,STNWG,4,F,C,4,1.9
0,0.17522245,0,0,STNWG,1,F,C,3,2.75
0,0.224503765,0,0,SEDAN,3,F,A,6,0.9
0,0.720054757,0,0,HBACK,2,F,A,6,1.74
0,0.925393566,0,0,STNWG,3,M,E,6,2.39
0,0.646132786,0,0,UTE,3,M,E,4,2.14
0,0.646132786,0,0,HBACK,2,F,C,2,1.03
0,0.605065024,0,0,STNWG,4,M,F,4,1.28
0,0.227241615,0,0,COUPE,4,F,B,3,0.67
0,0.720054757,0,0,HBACK,3,F,B,4,0.9
0,0.249144422,0,0,SEDAN,3,M,C,4,1.07
0,0.249144422,0,0,SEDAN,1,M,C,3,2.29
1,0.377823409,1,937.5599957,SEDAN,4,F,B,1,1.13
0,0.851471595,0,0,HBACK,2,M,A,3,1.37
0,0.851471595,0,0,COUPE,4,M,A,4,0.62
0,0.046543463,0,0,HBACK,2,F,F,2,1.26
0,0.041067762,0,0,STNWG,4,F,C,4,1.98
1,0.999315537,2,2724.339996,STNWG,4,M,A,3,0
0,0.249144422,0,0,HBACK,1,M,B,1,2.04
0,0.249144422,0,0,COUPE,3,F,A,3,2.1
0,0.224503765,0,0,HBACK,1,F,A,4,1.82
0,0.783025325,0,0,HBACK,4,F,E,6,0.31
0,0.249144422,0,0,SEDAN,1,M,A,2,2.29
0,0.249144422,0,0,HBACK,1,F,B,1,1.38
0,0.27926078,0,0,SEDAN,2,F,C,3,1.85
0,0.027378508,0,0,HBACK,2,F,C,3,1.5
0,0.073921971,0,0,SEDAN,2,M,C,5,2.78
0,0.525667351,0,0,SEDAN,2,M,C,3,2.49
0,0.13963039,0,0,HDTOP,4,M,C,3,1.3
0,0.224503765,0,0,STNWG,1,M,C,3,5.236
0,0.027378508,0,0,SEDAN,3,F,B,5,0.99
0,0.851471595,0,0,SEDAN,4,F,B,4,0.93
0,0.720054757,0,0,STNWG,1,F,D,3,2.76
0,0.925393566,0,0,SEDAN,3,M,A,5,1.62
0,0.309377139,0,0,HDTOP,2,F,F,2,3.22
1,0.750171116,1,12879.65997,HBACK,1,F,B,3,2.41
0,0.224503765,0,0,UTE,4,M,C,2,1.11
0,0.851471595,0,0,HBACK,4,F,A,2,0.66
0,0.750171116,0,0,TRUCK,2,M,C,1,3.69
0,0.254620123,0,0,TRUCK,4,F,B,5,0.93
0,0.301163587,0,0,HBACK,2,F,A,6,1.67
0,0.221765914,0,0,SEDAN,1,M,C,1,1.86
1,0.246406571,1,937.2799988,SEDAN,1,M,B,3,3.47
0,0.27926078,0,0,UTE,3,M,C,2,1.53
0,0.829568789,0,0,HBACK,1,F,A,4,1.39
0,0.309377139,0,0,HBACK,2,M,B,4,1.26
0,0.829568789,0,0,STNWG,1,M,A,5,2.82
0,0.314852841,0,0,SEDAN,2,M,D,4,1.79
0,0.224503765,0,0,HBACK,1,F,C,3,1.2
1,0.851471595,2,19142.13268,TRUCK,3,M,C,1,3.14
0,0.309377139,0,0,HBACK,3,F,D,3,0.68
0,0.646132786,0,0,HBACK,2,M,C,3,1.17
0,0.358658453,0,0,SEDAN,2,F,A,3,1.71
0,0.309377139,0,0,HBACK,3,F,C,2,1.12
0,0.224503765,0,0,HBACK,4,M,B,3,0.39
0,0.689938398,0,0,STNWG,3,F,C,4,1.64
0,0.547570157,0,0,HBACK,1,F,C,3,1.349
0,0.720054757,0,0,HBACK,4,M,C,2,1.81
0,0.101300479,0,0,HBACK,4,F,A,1,0.55
0,0.224503765,0,0,HBACK,3,F,B,2,1
0,0.073921971,0,0,SEDAN,3,M,B,6,1.18
0,0.1724846,0,0,SEDAN,2,F,C,4,2
0,0.525667351,0,0,HBACK,1,F,C,4,1.428
0,0.224503765,0,0,STNWG,2,F,A,3,2.87
0,0.862422998,0,0,SEDAN,3,M,A,6,1.16
0,0.027378508,0,0,SEDAN,3,M,C,4,0.92
0,0.90349076,0,0,HBACK,2,F,C,3,1.38
0,0.309377139,0,0,STNWG,4,M,A,2,1.64
0,0.698151951,0,0,STNWG,3,M,B,5,2.3
0,0.216290212,0,0,SEDAN,2,F,C,4,1.74
0,0.845995893,0,0,HBACK,1,F,C,1,1.37
0,0.90349076,0,0,HDTOP,4,F,B,1,1.3
0,0.525667351,0,0,UTE,2,M,A,1,2.85
0,0.27926078,0,0,HBACK,2,F,F,1,1.61
0,0.851471595,0,0,SEDAN,1,F,D,6,2.234
0,0.911704312,0,0,HBACK,3,M,B,5,1.39
0,0.093086927,0,0,HBACK,4,F,A,6,0.43
0,0.177960301,0,0,SEDAN,3,F,D,5,1.24
0,0.372347707,0,0,SEDAN,1,F,A,5,2.47
0,0.908966461,0,0,SEDAN,2,F,B,5,1.6
0,0.908966461,0,0,UTE,3,M,D,6,2.15
1,0.911704312,1,2659.369995,STNWG,4,M,C,6,1.98
0,0.908966461,0,0,SEDAN,4,F,C,2,0.48
1,0.906228611,1,2349.349999,STNWG,2,M,A,5,3.3
0,0.908966461,0,0,SEDAN,3,M,E,6,1.49
0,0.65982204,0,0,HDTOP,4,M,C,6,1.55
0,0.027378508,0,0,CONVT,4,M,A,4,6.18
1,0.908966461,1,367.7299995,STNWG,4,M,C,6,0.62
0,0.224503765,0,0,HBACK,2,F,A,2,1.3
0,0.087611225,0,0,HBACK,3,M,B,6,1.77
0,0.908966461,0,0,STNWG,1,F,E,5,6.56
0,0.906228611,0,0,SEDAN,2,M,B,5,1.85
0,0.906228611,0,0,HBACK,2,F,E,6,1.05
0,0.911704312,0,0,SEDAN,4,F,F,5,0.91
0,0.911704312,0,0,STNWG,4,M,B,4,1.51
0,0.221765914,0,0,HBACK,1,F,A,1,1.46
